FAR.Description,proportion
091,0.568997283202698
Part 91: General Aviation,0.2025419229928489
NUSN,0.04946444742841083
NUSC,0.031633513412234956
137,0.03153983074665084
135,0.02329575617524904
121,0.021203509977203886
Part 137: Agricultural,0.013646441620085563
UNK,0.011585422977235112
Part 135: Air Taxi & Commuter,0.009305811448021735
PUBU,0.007900571464260063
129,0.007681978577897136
Part 121: Air Carrier,0.005152546607126128
133,0.003341348405833307
Part 129: Foreign,0.003122755519470381
"Non-U.S., Non-Commercial",0.0030290728538862693
"Non-U.S., Commercial",0.002904162633107454
Part 133: Rotorcraft Ext. Load,0.0009992817662305218
Unknown,0.0006870062142834837
Public Use,0.0005933235486993723
091K,0.0004371857727258533
ARMF,0.00024982044155763046
"Part 125: 20+ Pax,6000+ lbs",0.00015613777597351904
125,0.00015613777597351904
107,0.00012491022077881523
103,6.245511038940761e-05
Public Aircraft,6.245511038940761e-05
Part 91 Subpart K: Fractional,3.122755519470381e-05
Armed Forces,3.122755519470381e-05
Part 91F: Special Flt Ops.,3.122755519470381e-05
437,3.122755519470381e-05
